Tarih,TP DK USD A YTL,
20-04-2022,14.63,
21-04-2022,14.64,
22-04-2022,14.66,
23-04-2022,,
24-04-2022,,
25-04-2022,14.71,
26-04-2022,14.74,
27-04-2022,14.77,
28-04-2022,14.80,
29-04-2022,14.78,
30-04-2022,,
01-05-2022,,
02-05-2022,,
03-05-2022,,
04-05-2022,,
05-05-2022,14.79,
06-05-2022,14.83,
07-05-2022,,
08-05-2022,,
09-05-2022,14.90,
10-05-2022,14.97,
11-05-2022,15.19,
12-05-2022,15.29,
13-05-2022,15.35,
14-05-2022,,
15-05-2022,,
16-05-2022,15.44,
17-05-2022,15.56,
18-05-2022,15.79,
19-05-2022,,
20-05-2022,15.92,
21-05-2022,,
22-05-2022,,
23-05-2022,15.92,
24-05-2022,15.85,
25-05-2022,16.08,
26-05-2022,16.27,
27-05-2022,16.37,
28-05-2022,,
29-05-2022,,
30-05-2022,16.35,
31-05-2022,16.36,
01-06-2022,16.39,
02-06-2022,16.41,
03-06-2022,16.44,
04-06-2022,,
05-06-2022,,
06-06-2022,16.48,
07-06-2022,16.56,
08-06-2022,16.71,
09-06-2022,17.09,
10-06-2022,17.20,
